22/10/2020 - 10:03:43
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,60348,3472,4
1000,61246,3418,1
1000,64509,3326,1
1000,59883,3504,0
1000,59756,3446,0
5000,1409807,17616,14
5000,1418578,17340,8
5000,1417987,17384,9
5000,1413023,17444,7
5000,1423737,17230,7
10000,5599538,35430,27
10000,5609225,34652,27
10000,5613056,34404,26
10000,5603061,34738,26
10000,5601137,34830,26
50000,139147432,172878,632
50000,139057456,178902,651
50000,139095564,176646,652
50000,139110797,175368,634
50000,139075793,176248,634
100000,555899093,352182,2530
100000,555909974,354516,2526
100000,556020908,352564,2525
100000,555947299,354174,2570
100000,556133968,347598,2569
22/10/2020 - 10:03:43
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5668,9976,1
1000,5816,9976,0
1000,5980,9976,0
1000,5863,9976,1
1000,6033,9976,1
5000,34344,61808,1
5000,34666,61808,1
5000,34235,61808,0
5000,34313,61808,1
5000,34402,61808,1
10000,73720,133616,1
10000,73636,133616,1
10000,74600,133616,1
10000,73006,133616,1
10000,73405,133616,1
50000,430177,784464,6
50000,425134,784464,6
50000,427626,784464,5
50000,426007,784464,6
50000,427323,784464,5
100000,904862,1668928,11
100000,898153,1668928,13
100000,909780,1668928,13
100000,904859,1668928,14
100000,904561,1668928,13
22/10/2020 - 10:32:15
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,60935,3536,3
1000,63271,3498,1
1000,59785,3522,1
1000,59862,3542,1
1000,59899,3496,1
5000,1405843,17574,13
5000,1411553,17532,7
5000,1408018,17816,8
5000,1416729,17452,7
5000,1409781,17448,8
10000,5607756,35332,28
10000,5609008,34914,28
10000,5590450,35430,27
10000,5603385,34978,28
10000,5587715,35414,27
50000,139142874,174504,696
50000,139188690,171034,693
50000,139073831,178080,679
50000,139120517,174568,671
50000,139085052,178134,684
100000,555898128,353686,2697
100000,556244227,346532,2732
100000,556151598,353706,2740
100000,555908803,352104,2708
100000,555927560,353950,2680
22/10/2020 - 10:32:15
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5829,9976,0
1000,5817,9976,0
1000,5930,9976,0
1000,6004,9976,0
1000,5810,9976,0
5000,34287,61808,2
5000,34353,61808,1
5000,33940,61808,0
5000,34237,61808,1
5000,34119,61808,0
10000,73784,133616,1
10000,73978,133616,1
10000,73034,133616,1
10000,74094,133616,1
10000,73611,133616,1
50000,428654,784464,6
50000,431058,784464,7
50000,425832,784464,5
50000,425651,784464,5
50000,429468,784464,5
100000,904274,1668928,12
100000,901657,1668928,15
100000,901470,1668928,13
100000,901654,1668928,13
100000,901685,1668928,13
