Árvore VP - 25/11/2020 - 11:41:27
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,1118,0,0
1000,1153,0,0
1000,1153,0,0
1000,1125,0,0
1000,1151,0,0
5000,7311,0,0
5000,7287,0,0
5000,7292,0,1
5000,7258,0,0
5000,7201,0,0
10000,16163,0,0
10000,16156,0,1
10000,15892,0,0
10000,16069,0,0
10000,16011,0,0
50000,97636,0,1
50000,97773,0,1
50000,97380,0,1
50000,98353,0,0
50000,97315,0,0
100000,210215,0,2
100000,210331,0,1
100000,210624,0,1
100000,210499,0,1
100000,210581,0,1
500000,1210577,0,11
500000,1210072,0,11
500000,1210220,0,13
500000,1218089,0,13
500000,1209506,0,12
Árvore B - 25/11/2020 - 11:41:27
1000,1219,0,0
1000,1259,0,0
1000,1287,0,0
1000,1171,0,0
1000,1240,0,0
5000,7692,0,0
5000,7867,0,0
5000,7689,0,0
5000,7798,0,0
5000,7949,0,0
10000,17279,0,0
10000,17665,0,0
10000,17117,0,0
10000,17364,0,0
10000,17582,0,0
50000,104627,0,1
50000,107633,0,2
50000,104433,0,1
50000,106333,0,1
50000,104781,0,1
100000,231730,0,2
100000,227672,0,2
100000,226081,0,2
100000,233984,0,2
100000,223394,0,2
500000,1323244,0,19
500000,1319454,0,25
500000,1334721,0,20
500000,1305351,0,19
500000,1325176,0,21
Árvore B2 - 25/11/2020 - 11:41:27
1000,6011,0,0
1000,6394,0,0
1000,6932,0,0
1000,5809,0,0
1000,6057,0,0
5000,27691,0,0
5000,27134,0,0
5000,27896,0,0
5000,27657,0,0
5000,29985,0,0
10000,65975,0,0
10000,65415,0,0
10000,66000,0,0
10000,62773,0,0
10000,66980,0,0
50000,433966,0,1
50000,442974,0,0
50000,439678,0,1
50000,437232,0,1
50000,442753,0,1
100000,905258,0,1
100000,894868,0,1
100000,903144,0,1
100000,899063,0,1
100000,894971,0,1
500000,5248942,0,9
500000,5425251,0,9
500000,5227849,0,9
500000,5349865,0,10
500000,5340333,0,10
