25/11/2020 - 10:12:46
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,9,3,4
5,0,0,0
5,11,5,0
5,0,0,0
5,10,4,0
5,0,0,0
5,11,4,0
5,0,0,0
5,10,3,0
5,0,0,0
10,32,7,0
10,2,0,0
10,33,7,0
10,3,0,0
10,35,12,0
10,2,0,0
10,30,3,0
10,4,0,0
10,27,4,0
10,4,0,0
20,81,13,0
20,6,0,0
20,84,12,0
20,12,0,0
20,86,20,0
20,12,0,0
20,84,14,0
20,5,0,0
20,92,16,0
20,9,0,0
25/11/2020 - 10:13:25
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,8,0,3
5,9,2,0
5,11,4,0
5,9,3,0
5,10,2,0
10,34,10,0
10,30,4,0
10,31,7,0
10,34,9,0
10,30,5,0
20,94,23,0
20,92,20,0
20,96,16,0
20,89,13,0
20,84,19,0
25/11/2020 - 10:15:32
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,10,4,3
5,10,4,0
5,11,5,0
5,10,3,0
5,10,2,0
10,40,14,0
10,31,4,0
10,32,9,0
10,36,9,0
10,29,6,0
20,96,22,0
20,82,15,0
20,89,18,0
20,87,14,0
20,86,14,0
25/11/2020 - 10:15:34
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,10,3,3
5,11,5,0
5,9,2,0
5,9,1,0
5,8,1,0
10,30,9,1
10,29,6,0
10,30,7,0
10,33,5,0
10,37,12,0
20,96,15,0
20,90,15,0
20,85,14,0
20,89,17,0
20,87,16,0
25/11/2020 - 10:18:45
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,9,1,2
5,9,2,0
5,10,2,0
5,11,4,0
5,10,3,0
10,32,8,2
10,30,6,0
10,37,7,0
10,35,7,0
10,32,8,0
20,82,16,0
20,87,19,0
20,85,15,0
20,89,22,0
20,95,26,0
25/11/2020 - 10:20:33
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
5,13,3,4
5,13,6,0
5,12,5,0
5,9,2,0
5,9,2,0
10,33,8,0
10,30,6,0
10,30,8,0
10,29,7,0
10,33,9,0
20,84,12,0
20,98,24,0
20,86,17,0
20,85,16,0
20,90,17,0
