10/10/2020 - 08:12:10
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,6565,7317,2
1000,6052,7248,0
1000,7530,7179,0
1000,6300,7161,0
1000,6561,7089,1
5000,40303,43740,3
5000,40606,43857,3
5000,37114,43587,8
5000,38987,44454,9
5000,37572,44541,2
10000,92448,93483,6
10000,80066,95166,5
10000,84806,95391,4
10000,93421,93213,5
10000,89672,95331,4
50000,503482,553209,45
50000,589214,545073,45
50000,484723,548163,32
50000,561545,549606,36
50000,542410,554421,36
100000,1095661,1177008,73
100000,1267615,1164831,81
100000,1074418,1182471,73
100000,1113827,1179420,82
100000,1187027,1160859,86

10/10/2020 - 08:12:10
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,29991,19952,1
1000,29991,19952,1
1000,29992,19952,1
1000,29991,19952,1
1000,29993,19952,0
5000,180628,123616,8
5000,180624,123616,5
5000,180625,123616,11
5000,180631,123616,5
5000,180621,123616,4
10000,386268,267232,8
10000,386283,267232,2
10000,386278,267232,5
10000,386277,267232,5
10000,386275,267232,4
50000,2221590,1568928,35
50000,2221556,1568928,24
50000,2221592,1568928,29
50000,2221592,1568928,27
50000,2221546,1568928,22
100000,4694329,3337856,45
100000,4694390,3337856,46
100000,4694261,3337856,43
100000,4694239,3337856,49
100000,4694321,3337856,41

21/10/2020 - 08:47:48
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,17049,6984,2
1000,15713,7071,1
1000,16045,7137,1
1000,14430,7122,0
1000,13350,7224,0
5000,87310,44535,3
5000,94584,43977,3
5000,101955,44061,2
5000,95250,43299,2
5000,92861,44316,2
10000,230555,93822,6
10000,208825,94716,3
10000,196284,95487,4
10000,198925,95001,3
10000,209879,94236,5
50000,1255664,553416,27
50000,1216867,558831,31
50000,1249957,552600,31
50000,1223587,554529,29
50000,1267310,555738,32
100000,2675562,1181022,66
100000,2758099,1174620,74
100000,2880716,1175016,84
100000,2732640,1180950,72
100000,2641644,1178919,64
21/10/2020 - 08:47:48
MergeSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,5044,19952,1
1000,5045,19952,0
1000,5044,19952,1
1000,5044,19952,1
1000,5045,19952,1
5000,32013,123616,2
5000,32012,123616,3
5000,32009,123616,3
5000,32020,123616,1
5000,32017,123616,1
10000,69045,267232,2
10000,69047,267232,2
10000,69038,267232,3
10000,69053,267232,0
10000,69058,267232,2
50000,402647,1568928,16
50000,402610,1568928,15
50000,402619,1568928,14
50000,402670,1568928,16
50000,402595,1568928,18
100000,856404,3337856,35
100000,856314,3337856,35
100000,856448,3337856,31
100000,856374,3337856,33
100000,856344,3337856,40
21/10/2020 - 09:12:22
QuickSort
Num de entradas,Num de comparacoes,Num de copias,Tempo de processamento em milissegundos
1000,14642,4796,1
1000,15103,4774,0
